source	target	relation	source_database
drugbank:DB00295	HGNC:8156	1	drugbank
drugbank:DB01588	HGNC:4075	1	drugbank
drugbank:DB00734	HGNC:283	1	drugbank
drugbank:DB00313	HGNC:10585	-1	drugbank
drugbank:DB00170	HGNC:1043	1	drugbank
drugbank:DB08897	HGNC:1953	-1	drugbank
drugbank:DB00753	HGNC:4087	1	drugbank
drugbank:DB01110	HGNC:6287	-1	drugbank
drugbank:DB00868	HGNC:10593	-1	drugbank
drugbank:DB09089	HGNC:6293	-1	drugbank
drugbank:DB01064	HGNC:288	1	drugbank
drugbank:DB14597	HGNC:6371	-1	drugbank
drugbank:DB00806	HGNC:263	-1	drugbank
drugbank:DB12532	HGNC:4164	-1	drugbank
drugbank:DB00774	HGNC:1368	-1	drugbank
drugbank:DB09209	HGNC:8153	-1	drugbank
drugbank:DB01327	HGNC:6001	-1	drugbank
drugbank:DB06626	HGNC:3763	-1	drugbank
drugbank:DB00841	HGNC:277	1	drugbank
drugbank:DB05015	HGNC:4854	-1	drugbank
drugbank:DB00810	HGNC:1956	-1	drugbank
drugbank:DB11859	HGNC:4075	1	drugbank
drugbank:DB00244	HGNC:9604	-1	drugbank
drugbank:DB00521	HGNC:286	-1	drugbank
drugbank:DB12010	HGNC:6846	-1	drugbank
drugbank:DB08801	HGNC:1951	-1	drugbank
drugbank:DB00459	HGNC:10479	1	drugbank
drugbank:DB00347	HGNC:1394	-1	drugbank
drugbank:DB01174	HGNC:4585	-1	drugbank
drugbank:DB00966	HGNC:336	-1	drugbank
drugbank:DB00983	HGNC:285	1	drugbank
drugbank:DB12267	HGNC:76	-1	drugbank
drugbank:DB00273	HGNC:10597	-1	drugbank
drugbank:DB01068	HGNC:4076	1	drugbank
drugbank:DB06153	HGNC:5293	-1	drugbank
drugbank:DB00009	HGNC:9071	1	drugbank
drugbank:DB00842	HGNC:4087	1	drugbank
drugbank:DB13746	HGNC:10590	1	drugbank
drugbank:DB00357	HGNC:2594	-1	drugbank
drugbank:DB09213	HGNC:9051	1	drugbank
drugbank:DB00029	HGNC:9071	1	drugbank
drugbank:DB08877	HGNC:6192	-1	drugbank
drugbank:DB12010	HGNC:27972	-1	drugbank
drugbank:DB00539	HGNC:3467	1	drugbank
drugbank:DB00184	HGNC:1960	1	drugbank
drugbank:DB01138	HGNC:51	-1	drugbank
drugbank:DB00589	HGNC:3023	1	drugbank
drugbank:DB11572	HGNC:3546	1	drugbank
drugbank:DB00253	HGNC:7978	1	drugbank
drugbank:DB01175	HGNC:280	-1	drugbank
drugbank:DB12147	HGNC:3689	-1	drugbank
